timestamp,window_id,compressor,compression_level,raw_bytes,compressed_bytes,ratio,latency_ms,energy_uj,error,transfer_time_ms,status
1788267042.441,1,none,1,1340,1340,1.0,0.0,0.0,0.0,0.0,verified
1788267048.333,2,none,1,1338,1338,1.0,0.0,0.0,0.0,0.0,verified
1788267054.233,3,none,1,1341,1341,1.0,0.0,0.0,0.0,0.0,verified
1788267060.163,4,none,1,1337,1337,1.0,0.0,0.0,0.0,0.0,verified
1788267066.004,5,none,1,1339,1339,1.0,0.0,0.0,0.0,0.0,verified
1788267071.846,6,none,1,1339,1339,1.0,0.0,0.0,0.0,0.0,verified
1788267077.702,7,none,1,1340,1340,1.0,0.0,0.0,0.0,0.0,verified
1788267083.601,8,none,1,1340,1340,1.0,0.0,0.0,0.0,0.0,verified
1788267089.502,9,none,1,1341,1341,1.0,0.0,0.0,0.0,0.0,verified
1788267095.411,10,none,1,1342,1342,1.0,0.0,0.0,0.0,0.0,verified
1788267101.322,11,none,1,1339,1339,1.0,0.0,0.0,0.0,0.0,verified
